panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
2,14:03:43,24/09/24,8268,166,1376,-31.82,32.22
3,14:03:43,24/09/24,7372,155,1138,,
1,14:13:43,24/09/24,13424,276,3702,,
2,14:13:43,24/09/24,12984,260,3382,-31.75,34.25
3,14:13:43,24/09/24,10420,219,2274,,
1,14:23:41,24/09/24,8812,181,1596,,
2,14:23:41,24/09/24,8204,165,1350,0.00,30.00
3,14:23:41,24/09/24,6884,144,996,,
1,14:33:46,24/09/24,8608,176,1524,,
2,14:33:46,24/09/24,8020,161,1292,-31.59,38.12
3,14:33:46,24/09/24,6612,138,918,,
1,14:43:41,24/09/24,4948,101,504,,
2,14:43:41,24/09/24,5076,102,518,0.00,30.00
3,14:43:41,24/09/24,4316,90,390,,
1,14:53:43,24/09/24,3916,80,314,,
2,14:53:43,24/09/24,4924,98,484,0.00,0.00
3,14:53:43,24/09/24,4220,88,374,,
1,15:03:43,24/09/24,3644,75,272,,
2,15:03:43,24/09/24,4224,85,360,0.00,0.00
3,15:03:43,24/09/24,3648,76,278,,
1,15:13:43,24/09/24,4016,82,330,,
2,15:13:43,24/09/24,4612,91,412,0.00,0.00
3,15:13:43,24/09/24,3884,81,314,,
1,15:23:43,24/09/24,5700,117,666,,
2,15:23:43,24/09/24,5944,119,708,0.00,30.00
3,15:23:43,24/09/24,4408,92,406,,
1,15:33:43,24/09/24,3288,67,222,,
2,15:33:43,24/09/24,3936,78,308,0.00,0.00
3,15:33:43,24/09/24,3256,68,222,,
1,15:43:43,24/09/24,2876,59,170,,
2,15:43:43,24/09/24,3976,80,304,0.00,0.00
3,15:43:43,24/09/24,3372,70,240,,
1,15:53:43,24/09/24,2200,45,102,,
2,15:53:43,24/09/24,3264,65,212,0.00,0.00
3,15:53:43,24/09/24,2860,60,170,,
1,16:03:43,24/09/24,1356,28,40,,
2,16:03:43,24/09/24,2096,42,86,0.00,0.00
3,16:03:43,24/09/24,1824,38,68,,
1,16:13:43,24/09/24,1408,29,42,,
2,16:13:43,24/09/24,1788,36,66,0.00,0.00
3,16:13:43,24/09/24,1508,31,50,,
1,16:23:43,24/09/24,1436,29,42,,
2,16:23:43,24/09/24,2132,42,92,0.00,0.00
3,16:23:43,24/09/24,1868,39,72,,
1,16:33:43,24/09/24,1140,23,26,,
2,16:33:43,24/09/24,1620,32,52,0.00,0.00
3,16:33:43,24/09/24,1520,31,50,,
1,16:43:43,24/09/24,864,18,16,,
2,16:43:43,24/09/24,1228,25,30,0.00,0.00
3,16:43:43,24/09/24,1116,23,26,,
1,16:53:43,24/09/24,820,17,14,,
2,16:53:43,24/09/24,1124,23,22,0.00,0.00
3,16:53:43,24/09/24,1032,21,22,,
1,17:03:43,24/09/24,680,14,10,,
2,17:03:43,24/09/24,856,17,16,0.00,0.00
3,17:03:43,24/09/24,740,15,14,,
1,17:13:43,24/09/24,772,16,14,,
2,17:13:43,24/09/24,960,19,20,0.00,0.00
3,17:13:43,24/09/24,856,18,16,,
1,17:23:45,24/09/24,496,10,6,,
2,17:23:45,24/09/24,388,8,4,-17.31,56.98
3,17:23:45,24/09/24,444,9,4,,
1,17:33:44,24/09/24,316,7,4,,
2,17:33:44,24/09/24,280,6,4,-6.20,57.18
3,17:33:44,24/09/24,268,5,0,,
1,17:44:06,24/09/24,240,5,0,,
2,17:44:06,24/09/24,228,5,0,31.95,57.26
3,17:44:06,24/09/24,144,3,0,,
1,12:24:43,25/09/24,7336,150,1108,,
2,12:24:43,25/09/24,6824,137,908,0.00,0.00
3,12:24:43,25/09/24,5992,125,756,,
1,12:44:43,25/09/24,8444,173,1464,,
2,12:44:43,25/09/24,8076,160,1294,0.00,0.00
