panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
1,14:13:44,01/10/24,17892,367,6580,,
2,14:13:44,01/10/24,17576,352,6200,-30.00,30.00
3,14:13:44,01/10/24,16164,339,5482,,
1,14:23:44,01/10/24,17904,368,6590,,
2,14:23:44,01/10/24,17424,349,6088,-30.00,30.00
3,14:23:44,01/10/24,15384,322,4968,,
1,14:33:44,01/10/24,17560,361,6340,,
2,14:33:44,01/10/24,17136,344,5896,-30.00,30.00
3,14:33:44,01/10/24,14544,305,4436,,
1,14:43:44,01/10/24,17576,361,6350,,
2,14:43:44,01/10/24,17152,344,5902,-30.00,60.00
3,14:43:44,01/10/24,13780,289,3988,,
1,14:53:44,01/10/24,17476,359,6276,,
2,14:53:44,01/10/24,17068,342,5842,-30.00,60.00
3,14:53:44,01/10/24,12888,270,3486,,
1,15:03:44,01/10/24,17172,353,6062,,
2,15:03:44,01/10/24,16984,340,5786,-26.92,43.64
3,15:03:44,01/10/24,11960,251,3002,,
1,15:13:43,01/10/24,17032,350,5964,,
2,15:13:43,01/10/24,16816,337,5672,-26.53,45.20
3,15:13:43,01/10/24,11016,231,2550,,
1,15:23:41,01/10/24,16848,346,5830,,
2,15:23:41,01/10/24,16632,333,5544,0.00,60.00
3,15:23:41,01/10/24,2408,50,122,,
1,15:33:45,01/10/24,16600,340,5656,,
2,15:33:45,01/10/24,16268,325,5306,-25.57,48.07
3,15:33:45,01/10/24,1952,41,78,,
1,15:43:42,01/10/24,16892,346,5852,,
2,15:43:42,01/10/24,16220,324,5266,0.00,60.00
3,15:43:42,01/10/24,1744,36,62,,
1,15:53:43,01/10/24,16596,340,5650,,
2,15:53:43,01/10/24,15932,318,5080,0.00,60.00
3,15:53:43,01/10/24,1596,33,52,,
1,16:03:43,01/10/24,16088,329,5308,,
2,16:03:43,01/10/24,15492,309,4800,0.00,60.00
3,16:03:43,01/10/24,1592,33,52,,
1,16:13:45,01/10/24,15704,321,5052,,
2,16:13:45,01/10/24,14616,291,4266,-22.32,52.70
3,16:13:45,01/10/24,1492,31,46,,
1,16:23:42,01/10/24,15160,310,4712,,
2,16:23:42,01/10/24,14628,292,4276,0.00,60.00
3,16:23:42,01/10/24,1604,33,52,,
1,16:33:43,01/10/24,14344,293,4214,,
2,16:33:43,01/10/24,13600,271,3696,0.00,60.00
3,16:33:43,01/10/24,1432,30,42,,
1,16:43:43,01/10/24,13448,275,3700,,
2,16:43:43,01/10/24,12368,247,3064,0.00,60.00
